Neighbourhood Description (Occurrence),Borough,Area
ABBOTTSFIELD,East,Beverly
ALBANY,North,The Palisades
ALBERTA AVENUE,East,The Avenue
ALBERTA PARK INDUSTRIAL,Northwest,Northwest Industrial
ALDERGROVE,West,West Jasper Place
ALLARD,Southwest,Heritage Valley
ALLENDALE,South,Greater Strathcona
AMBLESIDE,Southwest,Windermere
ANTHONY HENDAY,West,Transportation and utility corridor
ANTHONY HENDAY BIG LAKE,Northwest,Transportation and utility corridor
ANTHONY HENDAY CASTLEDOWNS,North,Transportation and utility corridor
ANTHONY HENDAY CLAREVIEW,Northeast,Transportation and utility corridor
ANTHONY HENDAY ENERGY PARK,Northeast,Transportation and utility corridor
ANTHONY HENDAY HORSE HILL,Northeast,Transportation and utility corridor
ANTHONY HENDAY LAKE DISTRICT,North,Transportation and utility corridor
ANTHONY HENDAY MISTATIM,Northwest,Transportation and utility corridor
ANTHONY HENDAY RAMPART,Northwest,Transportation and utility corridor
ANTHONY HENDAY SOUTH,Southwest,Transportation and utility corridor
ANTHONY HENDAY SOUTH EAST,Southeast,Transportation and utility corridor
ANTHONY HENDAY SOUTH WEST,West,Transportation and utility corridor
ANTHONY HENDAY TERWILLEGAR,Southwest,Transportation and utility corridor
ARGYLL,South,Mill Creek
ARMSTRONG INDUSTRIAL,Northwest,Northwest Industrial
ASPEN GARDENS,South,
ASTER,Southeast,The Meadows
ATHLONE,North,
AVONMORE,South,Mill Creek
BALWIN,North,
BANNERMAN,Northeast,Clareview
BARANOW,North,Castle Downs
BATURYN,North,Castle Downs
BEACON HEIGHTS,East,Beverly
BEARSPAW,Southwest,Yellowbird
BEAUMARIS,North,Castle Downs
BELGRAVIA,South,Greater Strathcona
BELLE RIVE,North,Lake District
BELLEVUE,East,Greater Highlands
BELMEAD,West,West Jasper Place
BELMONT,Northeast,Clareview
BELVEDERE,North,
BERGMAN,East,Beverly
BEVERLY HEIGHTS,East,Beverly
BISSET,Southeast,Ridgewood
BLACKBURNE,Southwest,Heritage Valley
BLACKMUD CREEK,Southwest,Heritage Valley
BLACKMUD CREEK RAVINE,Southwest,Whitemud Creek Ravine and southwest sector
BLUE QUILL,Southwest,Blue Quill
BLUE QUILL ESTATES,Southwest,Blue Quill
BONAVENTURE INDUSTRIAL,Northwest,Northwest Industrial
BONNIE DOON,South,Greater Bonnie Doon
BOYLE STREET,Central,Central core north
BRANDER GARDENS,Southwest,Riverbend
BRECKENRIDGE GREENS,West,Lewis Farms
BRINTNELL,Northeast,Pilot Sound
BRITANNIA YOUNGSTOWN,West,Jasper Place
BROOKSIDE,Southwest,Riverbend
BROWN INDUSTRIAL,Northwest,Northwest Industrial
BULYEA HEIGHTS,Southwest,Riverbend
CAERNARVON,North,
CALDER,North,
CALGARY TRAIL NORTH,,
CALGARY TRAIL SOUTH,,
CALLAGHAN,Southwest,Heritage Valley
CALLINGWOOD NORTH,West,West Jasper Place
CALLINGWOOD SOUTH,West,West Jasper Place
CAMERON HEIGHTS,West,
CANON RIDGE,Northeast,Hermitage
CANORA,West,Jasper Place
CANOSSA,North,Castle Downs
CAPILANO,South,Greater Hardisty
CARLETON SQUARE INDUSTRIAL,Northwest,Northwest Industrial
CARLISLE,North,Castle Downs
CARLTON,North,The Palisades
CARTER CREST,Southwest,Riverbend
CASHMAN,Southwest,Heritage Valley
CASSELMAN,Northeast,
CAVANAGH,Southwest,Heritage Valley
CENTRAL MCDOUGALL,Central,Central core north
CHAMBERY,North,Castle Downs
CHAPPELLE AREA,Southwest,Heritage Valley
CHARLESWORTH,Southeast,
CLAREVIEW BUSINESS PARK,,
CLAREVIEW CAMPUS,,
CLAREVIEW TOWN CENTRE,Northeast,Clareview
CLOVER BAR AREA,Southeast,Northeast Industrial
CLOVERDALE,Central,Central core south
CORONET ADDITION INDUSTRIAL,Southeast,Southeast Industrial
CORONET INDUSTRIAL,Southeast,Southeast Industrial
CPR IRVINE,,
CPR WEST,,
CRAWFORD PLAINS,Southeast,Southwood
CRESTWOOD,West,
CROMDALE,East,Greater Highlands
CRYSTALLINA NERA WEST,North,Lake District
CUMBERLAND,North,The Palisades
CY BECKER,Northeast,Pilot Sound
DALY GROVE,Southeast,Southwood
DAVIES INDUSTRIAL EAST,Southeast,Southeast Industrial
DAVIES INDUSTRIAL WEST,Southeast,Southeast Industrial
DECHENE,West,West Jasper Place
DECOTEAU,Southeast,
DELTON,East,The Avenue
DELWOOD,North,
DESROCHERS AREA,Southwest,Heritage Valley
DOMINION INDUSTRIAL,Northwest,Northwest Industrial
DONSDALE,West,West Jasper Place
DOVERCOURT,Northwest,
DOWNTOWN,Central,Central core north
DUGGAN,South,
DUNLUCE,North,Castle Downs
EASTGATE BUSINESS PARK,Southeast,Southeast Industrial
EASTWOOD,East,The Avenue
EAUX CLAIRES,North,Lake District
EBBERS,Northeast,Casselman-Steele Heights
EDGEMONT,West,
EDMISTON INDUSTRIAL,Northwest,Northwest Industrial
EDMONTON ENERGY AND TECHNOLOGY PARK,,
EDMONTON MUNICIPAL AIRPORT,Northwest,Northwest Industrial
EDMONTON NORTHLANDS,,
EDMONTON RESEARCH AND DEVELOPMENT PARK,Southeast,Southeast Industrial
EKOTA,Southeast,Knottwood
ELLERSLIE,Southeast,Ellerslie
ELLERSLIE INDUSTRIAL,Southeast,Southeast Industrial
ELMWOOD,West,Jasper Place
ELMWOOD PARK,East,The Avenue
ELSINORE,North,Castle Downs
EMPIRE PARK,South,Greater Strathcona
ERMINESKIN,Southwest,
EVANSDALE,North,Dickinsfield
EVERGREEN,Northeast,Horse Hill
FALCONER HEIGHTS,Southwest,Riverbend
FOREST HEIGHTS,South,Greater Bonnie Doon
FRASER,Northeast,Clareview
FULTON PLACE,South,Greater Hardisty
GAGNON ESTATE INDUSTRIAL,Northwest,Northwest Industrial
GAINER INDUSTRIAL,Southeast,Southeast Industrial
GARIEPY,West,West Jasper Place
GARNEAU,Central,Central core south
GARSIDE INDUSTRIAL,Northwest,Northwest Industrial
GIRARD INDUSTRIAL,Southeast,Southeast Industrial
GLASTONBURY,West,The Grange
GLENGARRY,North,
GLENORA,West,
GLENRIDDING AREA,Southwest,Windermere
GLENWOOD,West,Jasper Place
GOLD BAR,South,Greater Hardisty
GOODRIDGE CORNERS,North,
GORMAN,Northeast,Pilot Sound
GRANDVIEW HEIGHTS,South,Greater Strathcona
GRANVILLE,West,The Grange
GRAYDON HILL,Southwest,Heritage Valley
GREENFIELD,South,
GREENVIEW,Southeast,Woodvale
GRIESBACH,North,Goodridge Corners
GROVENOR,West,
HADDOW,Southwest,Terwillegar Heights
HAGMANN ESTATE INDUSTRIAL,Northwest,Northwest Industrial
HAIRSINE,Northeast,Clareview
HAWIN PARK ESTATE INDUSTRIAL,Northwest,Northwest Industrial
HAWKS RIDGE,Northwest,Big Lake
HAYS RIDGE AREA,Southwest,Heritage Valley
HAZELDEAN,South,Mill Creek
HENDERSON ESTATES,Southwest,Riverbend
HERITAGE VALLEY AREA,,
HERITAGE VALLEY TOWN CENTRE AREA,Southwest,Heritage Valley
HIGH PARK,West,Jasper Place
HIGH PARK INDUSTRIAL,Northwest,Northwest Industrial
HIGHLANDS,East,Greater Highlands
HILLVIEW,Southeast,Woodvale
HODGSON,Southwest,Terwillegar Heights
HOLLICK-KENYON,Northeast,Pilot Sound
HOLYROOD,South,Greater Bonnie Doon
HOMESTEADER,Northeast,Hermitage
HUDSON,North,The Palisades
HUFF BREMNER ESTATE INDUSTRIAL,Northwest,Northwest Industrial
IDYLWYLDE,South,Greater Bonnie Doon
INDUSTRIAL HEIGHTS,Northeast,Northeast Industrial
INGLEWOOD,West,
JACKSON HEIGHTS,Southeast,Burnewood
JAMIESON PLACE,West,West Jasper Place
JASPER PARK,West,Jasper Place
KAMEYOSEK,Southeast,Lakewood
KEHEEWIN,Southwest,Yellowbird
KENILWORTH,South,Greater Bonnie Doon
KENNEDALE INDUSTRIAL,Northeast,Northeast Industrial
KENSINGTON,North,
KERNOHAN,Northeast,Clareview
KESWICK AREA,Southwest,Windermere
KILDARE,North,Londonderry
KILKENNY,North,Londonderry
KILLARNEY,North,
KING EDWARD PARK,South,Mill Creek
KINISKI GARDENS,Southeast,Burnewood
KINOKAMAU PLAINS AREA,Northwest,Northwest Industrial
KIRKNESS,Northeast,Clareview
KLARVATTEN,North,Lake District
LA PERLE,West,West Jasper Place
LAGO LINDO,North,Lake District
LAMBTON INDUSTRIAL,Southeast,Southeast Industrial
LANSDOWNE,North,
LARKSPUR,Southeast,The Meadows
LAUDERDALE,North,
LAUREL,Southeast,The Meadows
LAURIER HEIGHTS,West,
LEE RIDGE,Southeast,Millbourne
LEGER,Southwest,Terwillegar Heights
LENDRUM PLACE,South,Greater Strathcona
LEWIS FARMS INDUSTRIAL,,
LORELEI,North,Castle Downs
LYMBURN,West,West Jasper Place
LYNNWOOD,West,Jasper Place
MACEWAN,Southwest,Heritage Valley
MACTAGGART,Southwest,Terwillegar Heights
MAGRATH HEIGHTS,Southwest,Terwillegar Heights
MALMO PLAINS,South,Greater Strathcona
MAPLE,Southeast,The Meadows
MAPLE RIDGE,Southeast,
MAPLE RIDGE INDUSTRIAL,Southeast,Southeast Industrial
MATT BERRY,Northeast,Pilot Sound
MAYFIELD,West,Jasper Place
MAYLIEWAN,North,Lake District
MCARTHUR INDUSTRIAL,Northwest,Northwest Industrial
MCCAULEY,Central,Central core north
MCCONACHIE AREA,,
MCINTYRE INDUSTRIAL,Southeast,Southeast Industrial
MCKERNAN,South,Greater Strathcona
MCLEOD,Northeast,Casselman-Steele Heights
MCNAMARA INDUSTRIAL,Northwest,Northwest Industrial
MCQUEEN,West,
MEADOWLARK PARK,West,Jasper Place
MENISA,Southeast,Knottwood
MEYOKUMIN,Southeast,Millhurst
MEYONOHK,Southeast,Lakewood
MICHAELS PARK,Southeast,Millbourne
MILL CREEK RAVINE NORTH,South,
MILL CREEK RAVINE SOUTH,South,
MILL WOODS GOLF COURSE,Southeast,
MILL WOODS PARK,Southeast,
MILL WOODS TOWN CENTRE,Southeast,Mill Wods Centre
MILLER,Northeast,Casselman-Steele Heights
MINCHAU,Southeast,Ridgewood
MISTATIM INDUSTRIAL,Northwest,Northwest Industrial
MITCHELL INDUSTRIAL,Northwest,Northwest Industrial
MONTROSE,East,Greater Highlands
MORIN INDUSTRIAL,Northwest,Northwest Industrial
MORRIS INDUSTRIAL,Southeast,Southeast Industrial
NEWTON,East,Greater Highlands
NORTH GLENORA,West,
NORTHMOUNT,North,Dickinsfield
NORWESTER INDUSTRIAL,Northwest,Northwest Industrial
OGILVIE RIDGE,Southwest,Riverbend
OLESKIW,West,West Jasper Place
OLIVER,Central,Central core north
ORMSBY PLACE,West,West Jasper Place
OTTEWELL,South,Greater Bonnie Doon
OVERLANDERS,Northeast,Hermitage
OXFORD,North,The Palisades
OZERNA,North,Lake District
PAISLEY,Southwest,Heritage Valley
PAPASCHASE INDUSTRIAL,Southeast,Southeast Industrial
PARKALLEN,South,Greater Strathcona
PARKDALE,East,The Avenue
PARKVIEW,West,
PARSONS INDUSTRIAL,Southeast,Southeast Industrial
PATRICIA HEIGHTS,West,Jasper Place
PEMBINA,North,The Palisades
PLACE LARUE,West,
PLEASANTVIEW,South,Greater Strathcona
POLLARD MEADOWS,Southeast,Southwood
POTTER GREENS,West,Lewis Farms
POUNDMAKER INDUSTRIAL,Northwest,Northwest Industrial
PRINCE CHARLES,Northwest,
PRINCE RUPERT,West,
PYLYPOW INDUSTRIAL,Southeast,Southeast Industrial
QUEEN ALEXANDRA,South,Greater Strathcona
QUEEN MARY PARK,Central,Central core north
QUESNELL HEIGHTS,West,
RAMPART INDUSTRIAL,Northwest,Northwest Industrial
RAMSAY HEIGHTS,Southwest,Riverbend
RAPPERSWILL,North,Castle Downs
RHATIGAN RIDGE,Southwest,Riverbend
RICHFIELD,Southeast,Millbourne
RICHFORD,Southwest,Heritage Valley
RIDEAU PARK,South,
RIO TERRACE,West,Jasper Place
RITCHIE,South,Mill Creek
RIVER VALLEY CAMERON,West,North Saskatchewan River valley
RIVER VALLEY CAPITOL HILL,,
RIVER VALLEY FORT EDMONTON,,
RIVER VALLEY GLENORA,West,
RIVER VALLEY GOLD BAR,South,
RIVER VALLEY HERMITAGE,Northeast,
RIVER VALLEY HIGHLANDS,East,
RIVER VALLEY KINNAIRD,,
RIVER VALLEY LAURIER,West,
RIVER VALLEY MAYFAIR,,
RIVER VALLEY OLESKIW,West,
RIVER VALLEY RIVERSIDE,,
RIVER VALLEY RUNDLE,Southwest,
RIVER VALLEY TERWILLEGAR,Southwest,
RIVER VALLEY VICTORIA,,
RIVER VALLEY WALTERDALE,,
RIVER VALLEY WHITEMUD,,
RIVER VALLEY WINDERMERE,Southwest,
RIVERDALE,Central,Central core north
RIVER'S EDGE,West,Riverview
RIVERVIEW AREA,,
ROPER INDUSTRIAL,Southeast,Southeast Industrial
ROSEDALE INDUSTRIAL,Southeast,Southeast Industrial
ROSENTHAL,West,Lewis Farms
ROSSDALE,Central,Central core north
ROSSLYN,North,
ROYAL GARDENS,South,
RUNDLE HEIGHTS,East,Beverly
RURAL NORTH EAST HORSE HILL,,
RURAL NORTH EAST SOUTH STURGEON,,
RURAL NORTH WEST,,
RURAL SOUTH EAST,,
RURAL WEST BIG LAKE,,
RUTHERFORD,Southwest,Heritage Valley
SAKAW,Southeast,Millhurst
SATOO,Southeast,Knottwood
SCHONSEE,North,Lake District
SECORD,West,Lewis Farms
SHEFFIELD INDUSTRIAL,Northwest,Northwest Industrial
SHERBROOKE,Northwest,
SHERWOOD,West,Jasper Place
SIFTON PARK,Northeast,Clareview
SILVER BERRY,Southeast,The Meadows
SKYRATTLER,Southwest,Blue Quill
SOUTH EDMONTON COMMON,Southeast,
SOUTH TERWILLEGAR,Southwest,Terwillegar Heights
SOUTHEAST INDUSTRIAL,Southeast,Southeast Industrial
SPRUCE AVENUE,East,The Avenue
STARLING,Northwest,
STEINHAUER,Southwest,
STEWART GREENS,West,Lewis Farms
STONE INDUSTRIAL,Northwest,Northwest Industrial
STRATHCONA,Central,Central core south
STRATHCONA INDUSTRIAL PARK,Southeast,Southeast Industrial
STRATHCONA JUNCTION,,
STRATHEARN,South,Greater Bonnie Doon
SUDER GREENS,West,Lewis Farms
SUMMERLEA,West,West Jasper Place
SUMMERSIDE,Southeast,Ellerslie
SUNWAPTA INDUSTRIAL,Northwest,Northwest Industrial
SWEET GRASS,Southwest,Blue Quill
TAMARACK,Southeast,The Meadows
TAWA,Southeast,Mill Wods Centre
TERRA LOSA,West,West Jasper Place
TERRACE HEIGHTS,South,Greater Bonnie Doon
TERWILLEGAR TOWNE,Southwest,Terwillegar Heights
THE HAMPTONS,West,The Grange
THE ORCHARDS AT ELLERSLIE,Southeast,Ellerslie
THE UPLANDS,West,Riverview
THORNCLIFF,West,West Jasper Place
TIPASKAN,Southeast,Lakewood
TRUMPETER AREA,Northwest,Big Lake
TWEDDLE PLACE,Southeast,Millbourne
TWIN BROOKS,Southwest,
UNIVERSITY OF ALBERTA,Central,Central core south
UNIVERSITY OF ALBERTA FARM,,
VIRGINIA PARK,East,Greater Highlands
WALKER,Southeast,
WEBBER GREENS,West,Lewis Farms
WEDGEWOOD HEIGHTS,West,West Jasper Place
WEINLOS,Southeast,Ridgewood
WEIR INDUSTRIAL,Southeast,Southeast Industrial
WELLINGTON,North,
WEST JASPER PLACE,West,Jasper Place
WEST MEADOWLARK PARK,West,Jasper Place
WEST SHEFFIELD INDUSTRIAL,Northwest,Northwest Industrial
WESTBROOK ESTATES,South,
WESTMOUNT,Centralwest,
WESTRIDGE,West,West Jasper Place
WESTVIEW VILLAGE,Northwest,
WESTWOOD,East,The Avenue
WHITE INDUSTRIAL,Northwest,Northwest Industrial
WHITEMUD CREEK RAVINE NORTH,Southwest,Whitemud Creek Ravine and southwest sector
WHITEMUD CREEK RAVINE SOUTH,Southwest,Whitemud Creek Ravine and southwest sector
WILD ROSE,Southeast,The Meadows
WILSON INDUSTRIAL,Northwest,Northwest Industrial
WINDERMERE,Southwest,Windermere
WINDERMERE AREA,Southwest,Windermere
WINDSOR PARK,South,Greater Strathcona
WINTERBURN INDUSTRIAL AREA EAST,Northwest,Northwest Industrial
WINTERBURN INDUSTRIAL AREA WEST,Northwest,Northwest Industrial
WOODCROFT,Northwest,
YELLOWHEAD CORRIDOR EAST,Mature area,Northeast Industrial
YELLOWHEAD CORRIDOR WEST,Mature area,Northeast Industrial
YORK,Northeast,Casselman-Steele Heights
YOUNGSTOWN INDUSTRIAL,Northwest,Northwest Industrial
